,file_path,target,embedding
0,albums\anime\00095702-6b86-4bb1-880e-1e09e759a013.png,anime,[0. 0. 0. ... 0. 0. 0.]
1,albums\anime\0091bee3-a67a-457e-8c5f-b4a1055b1211.png,anime,[0.       0.       0.       ... 0.       8.707919 0.      ]
2,albums\anime\00a9d688-337f-4807-83cd-596540f1683b.png,anime,[0. 0. 0. ... 0. 0. 0.]
3,albums\anime\00ddb3de-75db-4e27-ad3d-441a5dc95636.png,anime,[0.        0.        6.3878484 ... 0.        0.        0.       ]
4,albums\anime\00ec64ef-c6ab-4a63-91df-59ce8db4ea25.png,anime,[0. 0. 0. ... 0. 0. 0.]
5,albums\anime\01560b60-9b1b-4035-9914-08c2f9a6aad6.png,anime,[ 0.        4.507752  0.       ...  0.       14.578836  0.      ]
6,albums\anime\0280a49e-054a-494e-8f5b-dd3797b32f43.png,anime,[0.      0.      0.      ... 0.      0.      5.23087]
7,albums\anime\02aa6fff-50b3-4fe0-9030-58e5216f82dd.png,anime,[0. 0. 0. ... 0. 0. 0.]
8,albums\anime\02c817f7-586f-480d-b75f-5b299111f325.png,anime,[ 0.       0.       0.      ...  0.      62.35944  0.     ]
9,albums\anime\02e419fe-6dbd-493e-a7c6-025a0e84bfb5.png,anime,[0.        0.        8.615553  ... 0.        4.7472773 0.       ]
10,albums\anime\02eb263f-18b1-4b06-b1ec-1bd4112bdda6.png,anime,[0.        0.        0.        ... 0.        2.0635037 0.       ]
11,albums\anime\03097e65-5425-47b3-845a-b99f87dc3edc.png,anime,[ 0.        0.        0.       ... 25.150011  0.        0.      ]
12,albums\anime\0321d5a7-1d14-454c-b2a0-e51b73893b52.png,anime,[0. 0. 0. ... 0. 0. 0.]
13,albums\anime\041108c9-1815-4759-bc00-e9ce20856d7e.png,anime,[0. 0. 0. ... 0. 0. 0.]
14,albums\anime\046e3c8b-845f-43cc-b668-3bf50d8933d5.png,anime,[0.        0.        0.        ... 0.        2.8822494 0.       ]
15,albums\anime\04c875a0-0c34-4bbf-be82-3c6b6d4fb914.png,anime,[ 0.        96.62666    0.        ...  0.         0.7847583 25.215487 ]
16,albums\anime\053a1ec5-141a-4608-9772-e9e3bac22b2f.png,anime,[ 0.        0.        0.       ...  0.       22.148796  0.      ]
17,albums\anime\054883a9-b2e2-4e52-ad52-c980ea768cf0.png,anime,[0.        0.        0.        ... 0.        2.0635037 0.       ]
18,albums\anime\056f1dc8-1be5-4f2d-91f8-413bc0c0f92f.png,anime,[0.        0.        0.        ... 0.        5.8810525 0.       ]
19,albums\anime\057dfccf-1a68-47f9-9ea8-5e6b1b0e160b.png,anime,[0.       0.       0.       ... 0.       5.087975 0.      ]
20,albums\anime\05a46aa4-2aa8-4e74-90f2-7c00a7df5d9b.png,anime,[0. 0. 0. ... 0. 0. 0.]
21,albums\anime\05c5ed28-35ad-4066-b321-90df198c0d36.png,anime,[ 0.        0.        0.       ...  0.       19.547054  4.009745]
22,albums\anime\05c775e6-1064-40c7-9d3c-974687d541f1.png,anime,[0. 0. 0. ... 0. 0. 0.]
